gene_name	Approved name	Family_name
P2RX2	purinergic receptor P2X 2	Purinergic receptor
P2RX3	purinergic receptor P2X 3	Purinergic receptor
P2RX4	purinergic receptor P2X 4	Purinergic receptor
P2RX5	purinergic receptor P2X 5	Purinergic receptor
P2RX6	purinergic receptor P2X 6	Purinergic receptor
P2RX7	purinergic receptor P2X 7	Purinergic receptor
P2RY1	purinergic receptor P2Y1	Purinergic receptor
P2RY2	purinergic receptor P2Y2	Purinergic receptor
P2RY4	pyrimidinergic receptor P2Y4	Purinergic receptor
P2RY6	pyrimidinergic receptor P2Y6	Purinergic receptor
P2RY11	purinergic receptor P2Y11	Purinergic receptor
P2RY12	purinergic receptor P2Y12	Purinergic receptor
P2RY13	purinergic receptor P2Y13	Purinergic receptor
P2RY14	purinergic receptor P2Y14	Purinergic receptor
TAAR1	trace amine associated receptor 1	Trace amine associated receptor
TAAR2	trace amine associated receptor 2	Trace amine associated receptor
TAAR3P	"trace amine associated receptor 3, pseudogene"	Trace amine associated receptor
TAAR4P	"trace amine associated receptor 4, pseudogene"	Trace amine associated receptor
TAAR5	trace amine associated receptor 5	Trace amine associated receptor
TAAR6	trace amine associated receptor 6	Trace amine associated receptor
TAAR7P	"trace amine associated receptor 7, pseudogene"	Trace amine associated receptor
TAAR8	trace amine associated receptor 8	Trace amine associated receptor
TAAR9	trace amine associated receptor 9	Trace amine associated receptor
SLC1A3	EAAT1	Glutamate transporter
SLC1A2	EAAT2	Glutamate transporter
SLC1A1	EAAT3	Glutamate transporter
SLC1A6	EAAT4	Glutamate transporter
SLC1A7	EAAT5	Glutamate transporter
SLC17A7	VGLUT1	Glutamate transporter
SLC17A6	VGLUT2	Glutamate transporter
SLC17A8	VGLUT3	Glutamate transporter
SLC6A1	GABA transporter type 1	GABA transporter
SLC6A13	GABA transporter type 2	GABA transporter
SLC6A11	GABA transporter type 3	GABA transporter
SLC6A12	Betaine transporter	GABA transporter
SLC6A8	Creatinine transporter 1	GABA transporter
SLC6A6	Taurine transporter	GABA transporter
